work_id,state,district,mp_name,mp_party,lok_sabha_term,work_category,implementing_agency,vendor_name,sanction_date,sanctioned_amount_inr,expenditure_inr,status,completion_date,is_anomaly,anomaly_type
MPLAD100038,Gujarat,Ahmedabad,MP_015,Party_D,18th,Community Hall Construction,Jal Nigam,Vendor_081,2022-09-02,2908316.9,2279677.87,Completed,2023-01-20,0,none
MPLAD100039,Odisha,Cuttack,MP_039,Party_B,17th,Health Sub-Centre Upgrade,Zila Parishad,Vendor_064,2021-08-25,826392.94,728590.73,Completed,2021-12-06,0,none
MPLAD100040,Gujarat,Ahmedabad,MP_027,Independent,18th,Health Sub-Centre Upgrade,State Electricity Board,Vendor_028,2024-06-08,2579191.49,1052498.19,Delayed,,0,none
MPLAD100041,Chhattisgarh,Raipur,MP_048,Independent,17th,Drinking Water Supply,District Rural Development Agency,Vendor_107,2019-04-29,1484069.45,1484069.45,Completed,2019-09-05,0,none
MPLAD100042,Rajasthan,Jaipur,MP_121,Party_A,17th,Street Lighting,Zila Parishad,Vendor_091,2022-02-26,701883.83,192370.91,Delayed,,0,none
MPLAD100043,Kerala,Kochi,MP_073,Party_C,17th,Public Toilet Complex,Jal Nigam,Vendor_025,2023-01-16,317286.64,305277.92,Completed,2023-08-19,0,none
MPLAD100044,Andhra Pradesh,Guntur,MP_119,Independent,18th,Drinking Water Supply,Public Works Department,Vendor_113,2022-04-04,1563249.05,1465542.02,Completed,2022-09-19,0,none
MPLAD100045,Bihar,Bhagalpur,MP_018,Party_B,17th,Public Toilet Complex,State Electricity Board,Vendor_107,2020-07-08,715153.84,308802.16,Delayed,,0,none
MPLAD100046,Rajasthan,Udaipur,MP_052,Party_B,18th,Road Construction,District Rural Development Agency,Vendor_009,2019-11-18,3159684.23,2766888.8,Completed,2020-07-06,0,none
MPLAD100047,Chhattisgarh,Bilaspur,MP_080,Independent,17th,Bridge/Culvert Construction,Jal Nigam,Vendor_016,2023-06-05,4661466.36,1650250.66,Delayed,,0,none
MPLAD100048,Andhra Pradesh,Guntur,MP_036,Independent,17th,Health Sub-Centre Upgrade,Panchayati Raj Department,Vendor_030,2020-11-13,1745901.67,1332570.28,Ongoing,,0,none
MPLAD100049,Chhattisgarh,Raipur,MP_048,Independent,17th,Drainage System,District Rural Development Agency,Vendor_097,2023-07-15,867642.51,523892.08,Ongoing,,1,vendor_collusion
MPLAD100050,Odisha,Rourkela,MP_013,Party_B,17th,Irrigation Canal Repair,Public Works Department,Vendor_084,2019-11-08,1802469.71,1182289.04,Ongoing,,0,none
MPLAD100051,Kerala,Kochi,MP_073,Party_C,17th,Community Hall Construction,District Rural Development Agency,Vendor_110,2023-04-22,2177335.32,0.0,Sanctioned - Not Started,,0,none
MPLAD100052,Rajasthan,Udaipur,MP_044,Party_B,18th,Irrigation Canal Repair,Panchayati Raj Department,Vendor_093,2022-09-30,1347724.92,366539.74,Delayed,,0,none
MPLAD100053,Tamil Nadu,Chennai,MP_066,Party_C,17th,Health Sub-Centre Upgrade,Zila Parishad,Vendor_018,2019-09-21,2637875.35,1034921.51,Ongoing,,0,none
MPLAD100054,Punjab,Ludhiana,MP_101,Party_C,17th,School Building Repair,State Electricity Board,Vendor_092,2019-07-29,1325139.72,616083.38,Delayed,,0,none
MPLAD100055,Maharashtra,Mumbai,MP_105,Independent,18th,Solar Street Lighting,Public Works Department,Vendor_107,2022-06-24,1373663.47,0.0,Sanctioned - Not Started,,1,vendor_collusion
MPLAD100056,Assam,Guwahati,MP_148,Party_A,18th,Drainage System,Zila Parishad,Vendor_063,2022-08-31,1746580.16,1545328.62,Completed,2023-01-01,0,none
MPLAD100057,Andhra Pradesh,Vijayawada,MP_116,Party_D,18th,Public Toilet Complex,District Rural Development Agency,Vendor_054,2020-09-03,933229.82,378522.0,Ongoing,,1,vendor_collusion
MPLAD100058,Chhattisgarh,Raipur,MP_113,Party_B,18th,Street Lighting,Jal Nigam,Vendor_079,2022-01-29,685704.34,128855.33,Ongoing,,0,none
MPLAD100059,Odisha,Cuttack,MP_039,Party_B,17th,Bridge/Culvert Construction,Panchayati Raj Department,Vendor_005,2019-06-11,2221615.98,0.0,Sanctioned - Not Started,,0,none
MPLAD100060,Madhya Pradesh,Indore,MP_038,Party_A,17th,Library Construction,Municipal Corporation,Vendor_020,2023-01-24,1315204.8,143103.29,Ongoing,,0,none
MPLAD100061,Punjab,Ludhiana,MP_101,Party_C,17th,School Building Repair,Zila Parishad,Vendor_113,2024-04-27,783649.26,645771.98,Completed,2024-09-30,0,none
MPLAD100062,Gujarat,Ahmedabad,MP_002,Party_A,17th,Bridge/Culvert Construction,Public Works Department,Vendor_070,2024-01-20,4113145.88,2036690.41,Ongoing,,0,none
MPLAD100063,Haryana,Panipat,MP_026,Party_D,18th,Cremation/Burial Ground Development,Panchayati Raj Department,Vendor_102,2023-03-15,638301.17,356466.44,Delayed,,0,none
MPLAD100064,Kerala,Kochi,MP_008,Party_B,18th,Anganwadi Centre Construction,State PWD Division,Vendor_006,2024-04-22,403859.87,158346.62,Ongoing,,0,none
MPLAD100065,Assam,Guwahati,MP_024,Party_C,17th,Bridge/Culvert Construction,District Rural Development Agency,Vendor_108,2021-03-06,2219035.03,992014.92,Ongoing,,0,none
MPLAD100066,Rajasthan,Udaipur,MP_052,Party_B,18th,Anganwadi Centre Construction,State Electricity Board,Vendor_100,2024-02-13,541680.38,507327.76,Completed,2024-08-15,0,none
MPLAD100067,Odisha,Cuttack,MP_010,Independent,18th,Sports Infrastructure,District Rural Development Agency,Vendor_079,2019-05-30,1378085.11,436399.65,Ongoing,,0,none
MPLAD100068,Madhya Pradesh,Bhopal,MP_033,Party_C,18th,Solar Street Lighting,Panchayati Raj Department,Vendor_008,2020-11-23,1213267.89,1109927.69,Completed,2021-05-27,0,none
MPLAD100069,Haryana,Faridabad,MP_112,Party_D,18th,Road Construction,Public Works Department,Vendor_098,2021-06-14,1927813.13,1848815.18,Completed,2022-04-01,0,none
MPLAD100070,Chhattisgarh,Raipur,MP_048,Independent,17th,Library Construction,State PWD Division,Vendor_070,2020-03-12,1559728.45,1281011.94,Completed,2020-09-25,0,none
MPLAD100071,Gujarat,Ahmedabad,MP_015,Party_D,18th,Drainage System,Panchayati Raj Department,Vendor_094,2023-11-10,1817181.63,1750987.28,Completed,2023-11-23,1,ghost_fast_completion
MPLAD100072,Chhattisgarh,Bilaspur,MP_081,Party_A,17th,School Building Repair,Panchayati Raj Department,Vendor_110,2023-05-23,2145732.33,2056638.57,Completed,2023-05-28,1,ghost_fast_completion
MPLAD100073,Gujarat,Surat,MP_122,Independent,17th,Road Construction,District Rural Development Agency,Vendor_002,2024-04-20,2842161.35,1267059.82,Delayed,,0,none
MPLAD100074,Kerala,Thiruvananthapuram,MP_102,Independent,18th,Library Construction,District Rural Development Agency,Vendor_014,2022-03-30,1107689.11,0.0,Sanctioned - Not Started,,0,none
MPLAD100075,Punjab,Ludhiana,MP_124,Party_D,17th,Sports Infrastructure,State Electricity Board,Vendor_041,2022-09-23,873749.69,249613.13,Delayed,,0,none
MPLAD100076,Assam,Guwahati,MP_024,Party_C,17th,Public Toilet Complex,State PWD Division,Vendor_115,2023-12-17,805423.85,0.0,Sanctioned - Not Started,,0,none
MPLAD100077,Assam,Silchar,MP_088,Party_D,17th,Anganwadi Centre Construction,Public Works Department,Vendor_048,2022-07-14,1025760.32,359033.1,Ongoing,,0,none
MPLAD100078,Kerala,Kochi,MP_086,Party_A,18th,Health Sub-Centre Upgrade,Public Works Department,Vendor_079,2020-10-26,1868825.23,1645597.87,Completed,2021-05-21,0,none
MPLAD100079,Chhattisgarh,Raipur,MP_048,Independent,17th,Drinking Water Supply,Municipal Corporation,Vendor_108,2021-12-03,891829.17,773027.51,Completed,2022-08-30,0,none
MPLAD100080,Rajasthan,Udaipur,MP_044,Party_B,18th,Anganwadi Centre Construction,State PWD Division,Vendor_071,2024-09-07,556685.22,233985.52,Delayed,,0,none
MPLAD100081,Tamil Nadu,Coimbatore,MP_128,Independent,18th,Community Hall Construction,District Rural Development Agency,Vendor_042,2023-02-09,1756717.66,1494560.65,Completed,2023-08-06,0,none
MPLAD100082,Telangana,Hyderabad,MP_142,Party_C,18th,Bridge/Culvert Construction,Jal Nigam,Vendor_092,2024-05-15,5468674.91,2812244.55,Ongoing,,0,none
MPLAD100083,Kerala,Kochi,MP_085,Party_A,18th,Drinking Water Supply,District Rural Development Agency,Vendor_097,2023-12-23,1531471.53,627710.08,Delayed,,0,none
MPLAD100084,Odisha,Rourkela,MP_090,Independent,17th,Irrigation Canal Repair,Panchayati Raj Department,Vendor_089,2020-06-05,1256895.26,1256895.26,Completed,2020-12-29,0,none
MPLAD100085,Bihar,Gaya,MP_060,Independent,17th,Road Construction,District Rural Development Agency,Vendor_003,2020-01-05,1824902.84,533258.96,Delayed,,0,none
MPLAD100086,Chhattisgarh,Bilaspur,MP_080,Independent,17th,Anganwadi Centre Construction,District Rural Development Agency,Vendor_036,2021-05-01,814792.75,197128.81,Delayed,,0,none
MPLAD100087,Karnataka,Mysuru,MP_059,Party_D,17th,Solar Street Lighting,Panchayati Raj Department,Vendor_011,2021-08-12,1458105.38,1208788.0,Completed,2022-06-02,1,vendor_collusion
MPLAD100088,Punjab,Ludhiana,MP_149,Party_B,18th,Sports Infrastructure,Zila Parishad,Vendor_005,2024-06-20,713215.48,245280.03,Delayed,,0,none
MPLAD100089,Kerala,Thiruvananthapuram,MP_074,Party_B,18th,Drinking Water Supply,Zila Parishad,Vendor_111,2022-11-11,1440341.79,0.0,Delayed,,0,none
MPLAD100090,West Bengal,Kolkata,MP_056,Party_D,18th,Public Toilet Complex,Jal Nigam,Vendor_057,2024-03-23,927676.31,856838.31,Completed,2024-09-30,0,none
MPLAD100091,Gujarat,Surat,MP_053,Party_D,17th,Street Lighting,State PWD Division,Vendor_093,2019-10-02,553540.46,215105.22,Ongoing,,0,none
MPLAD100092,Tamil Nadu,Madurai,MP_125,Party_A,17th,Street Lighting,District Rural Development Agency,Vendor_118,2021-02-25,617299.85,232284.54,Delayed,,0,none
MPLAD100093,West Bengal,Kolkata,MP_089,Party_B,17th,Library Construction,State Electricity Board,Vendor_022,2021-06-19,1752454.32,0.0,Sanctioned - Not Started,,0,none
MPLAD100094,Assam,Dibrugarh,MP_117,Party_D,17th,Public Toilet Complex,State Electricity Board,Vendor_075,2023-11-29,563252.21,509183.16,Completed,2024-07-18,0,none
MPLAD100095,Chhattisgarh,Raipur,MP_113,Party_B,18th,School Building Repair,State PWD Division,Vendor_091,2020-09-17,2500000.0,1200163.83,Delayed,,1,round_number_invoice
MPLAD100096,Chhattisgarh,Raipur,MP_020,Party_C,17th,Library Construction,Panchayati Raj Department,Vendor_111,2022-09-09,1586862.59,775748.49,Delayed,,0,none
MPLAD100097,Kerala,Thiruvananthapuram,MP_083,Independent,17th,Anganwadi Centre Construction,State PWD Division,Vendor_073,2020-08-05,345560.23,265131.61,Completed,2021-05-04,0,none
MPLAD100098,Rajasthan,Udaipur,MP_052,Party_B,18th,Solar Street Lighting,State Electricity Board,Vendor_005,2024-06-26,812489.9,1013570.98,Completed,2024-10-26,1,cost_overrun
MPLAD100099,Uttar Pradesh,Varanasi,MP_096,Party_C,18th,Street Lighting,Jal Nigam,Vendor_082,2023-07-14,848524.66,336266.58,Ongoing,,0,none
MPLAD100100,Haryana,Gurugram,MP_091,Party_A,18th,Solar Street Lighting,State Electricity Board,Vendor_041,2023-06-05,1211267.21,604513.89,Ongoing,,0,none
MPLAD100101,Punjab,Ludhiana,MP_101,Party_C,17th,Anganwadi Centre Construction,Panchayati Raj Department,Vendor_032,2020-05-01,755385.0,192812.86,Ongoing,,0,none
MPLAD100102,Odisha,Rourkela,MP_106,Party_C,18th,School Building Repair,State PWD Division,Vendor_035,2023-09-20,1949311.41,1736958.57,Completed,2024-03-30,0,none
MPLAD100103,Chhattisgarh,Bilaspur,MP_094,Independent,17th,Cremation/Burial Ground Development,Jal Nigam,Vendor_077,2020-04-23,2313187.17,0.0,Sanctioned - Not Started,,1,fund_splitting
MPLAD100104,Haryana,Gurugram,MP_126,Party_B,18th,Irrigation Canal Repair,State PWD Division,Vendor_117,2022-12-30,1356755.2,1164549.79,Completed,2023-03-26,0,none
MPLAD100105,Andhra Pradesh,Guntur,MP_036,Independent,17th,Irrigation Canal Repair,Zila Parishad,Vendor_055,2022-10-22,2537999.28,2350122.69,Completed,2023-02-08,0,none
MPLAD100106,Gujarat,Ahmedabad,MP_095,Party_B,18th,Street Lighting,Zila Parishad,Vendor_064,2019-05-27,713402.35,685504.5,Completed,2019-06-03,1,ghost_fast_completion
MPLAD100107,Kerala,Kozhikode,MP_043,Independent,18th,Anganwadi Centre Construction,District Rural Development Agency,Vendor_055,2023-01-03,438740.44,208617.44,Ongoing,,0,none
MPLAD100108,Gujarat,Vadodara,MP_040,Party_A,17th,Street Lighting,Municipal Corporation,Vendor_094,2020-03-26,582697.2,570505.62,Completed,2020-10-03,0,none
MPLAD100109,Gujarat,Ahmedabad,MP_027,Independent,18th,Drainage System,Zila Parishad,Vendor_065,2024-01-27,1661323.34,325034.4,Delayed,,0,none
MPLAD100110,Telangana,Hyderabad,MP_041,Independent,17th,Irrigation Canal Repair,State Electricity Board,Vendor_075,2024-09-30,2639997.18,2417318.43,Completed,2024-09-30,0,none
MPLAD100111,Rajasthan,Jaipur,MP_121,Party_A,17th,Community Hall Construction,Public Works Department,Vendor_111,2021-05-14,2762150.79,2261602.21,Completed,2022-03-22,0,none
MPLAD100112,Kerala,Kochi,MP_104,Independent,18th,Anganwadi Centre Construction,Panchayati Raj Department,Vendor_002,2022-06-23,853764.71,0.0,Sanctioned - Not Started,,0,none
MPLAD100113,Odisha,Cuttack,MP_010,Independent,18th,School Building Repair,District Rural Development Agency,Vendor_052,2020-10-16,1847986.97,1496186.7,Completed,2021-06-19,0,none
MPLAD100114,Jharkhand,Ranchi,MP_051,Party_C,18th,Bridge/Culvert Construction,State PWD Division,Vendor_070,2021-04-23,4107859.95,1471329.05,Delayed,,0,none
MPLAD100115,Chhattisgarh,Bilaspur,MP_130,Party_B,18th,Drainage System,Jal Nigam,Vendor_083,2022-05-02,1133943.8,939014.87,Completed,2023-01-20,0,none
MPLAD100116,Tamil Nadu,Chennai,MP_066,Party_C,17th,Health Sub-Centre Upgrade,State Electricity Board,Vendor_011,2023-06-22,1224572.36,1152026.62,Completed,2023-12-20,0,none
MPLAD100117,Assam,Silchar,MP_016,Party_C,17th,Street Lighting,Public Works Department,Vendor_043,2021-06-04,419592.19,64819.17,Delayed,,0,none
MPLAD100118,Tamil Nadu,Coimbatore,MP_037,Party_B,17th,Health Sub-Centre Upgrade,Public Works Department,Vendor_041,2024-08-26,1468377.6,1303374.42,Completed,2024-09-30,0,none
MPLAD100119,Haryana,Faridabad,MP_055,Party_D,17th,Library Construction,Public Works Department,Vendor_053,2023-04-13,792790.72,759294.99,Completed,2023-08-20,0,none
MPLAD100120,Tamil Nadu,Chennai,MP_066,Party_C,17th,Community Hall Construction,State Electricity Board,Vendor_005,2022-12-04,1787344.2,1642374.55,Completed,2023-04-26,0,none
MPLAD100121,Tamil Nadu,Madurai,MP_125,Party_A,17th,Community Hall Construction,Public Works Department,Vendor_072,2020-08-26,2123644.73,408402.72,Delayed,,0,none
MPLAD100122,Haryana,Faridabad,MP_055,Party_D,17th,Drainage System,Zila Parishad,Vendor_097,2020-10-22,562509.35,501068.86,Completed,2021-05-02,0,none
MPLAD100123,Gujarat,Ahmedabad,MP_002,Party_A,17th,Sports Infrastructure,Municipal Corporation,Vendor_029,2023-08-19,2013693.96,951895.5,Ongoing,,0,none
MPLAD100124,Rajasthan,Jodhpur,MP_063,Party_A,17th,Irrigation Canal Repair,Panchayati Raj Department,Vendor_110,2021-07-24,1267412.37,1651517.79,Completed,2022-07-04,1,cost_overrun
MPLAD100125,Bihar,Patna,MP_028,Party_A,17th,Drinking Water Supply,State PWD Division,Vendor_021,2023-07-14,1632266.87,1458975.83,Completed,2024-04-22,0,none
MPLAD100126,Tamil Nadu,Madurai,MP_125,Party_A,17th,Bridge/Culvert Construction,State Electricity Board,Vendor_029,2024-01-29,4341158.38,5714487.83,Completed,2024-10-19,1,cost_overrun
MPLAD100127,Assam,Dibrugarh,MP_117,Party_D,17th,Road Construction,Zila Parishad,Vendor_037,2020-06-19,2580623.16,1256162.56,Ongoing,,0,none
MPLAD100128,Jharkhand,Ranchi,MP_035,Independent,17th,Cremation/Burial Ground Development,Municipal Corporation,Vendor_010,2019-07-28,449066.78,125985.63,Ongoing,,0,none
MPLAD100129,Rajasthan,Jodhpur,MP_099,Party_C,18th,Library Construction,Jal Nigam,Vendor_090,2022-11-11,550139.8,273987.49,Ongoing,,0,none
MPLAD100130,Odisha,Rourkela,MP_090,Independent,17th,Drinking Water Supply,State PWD Division,Vendor_091,2024-01-17,1156892.74,921399.83,Completed,2024-09-30,0,none
MPLAD100131,Bihar,Gaya,MP_060,Independent,17th,Library Construction,Zila Parishad,Vendor_096,2021-01-04,1204481.39,473064.99,Delayed,,0,none
MPLAD100132,Maharashtra,Mumbai,MP_105,Independent,18th,Solar Street Lighting,Zila Parishad,Vendor_020,2022-12-01,1354223.43,1160025.54,Completed,2023-05-21,0,none
MPLAD100133,Chhattisgarh,Raipur,MP_020,Party_C,17th,Drinking Water Supply,State Electricity Board,Vendor_097,2024-05-24,1280684.48,717629.33,Ongoing,,0,none
MPLAD100134,Telangana,Hyderabad,MP_041,Independent,17th,Health Sub-Centre Upgrade,Public Works Department,Vendor_022,2024-04-29,2148542.55,298283.42,Delayed,,0,none
MPLAD100135,Tamil Nadu,Coimbatore,MP_037,Party_B,17th,School Building Repair,Public Works Department,Vendor_092,2024-05-27,2070841.62,338028.98,Delayed,,0,none
MPLAD100136,Odisha,Cuttack,MP_079,Party_B,18th,School Building Repair,State PWD Division,Vendor_055,2022-12-27,1218034.31,332305.78,Ongoing,,0,none
MPLAD100137,Haryana,Gurugram,MP_091,Party_A,18th,Sports Infrastructure,Jal Nigam,Vendor_070,2023-11-22,667663.09,499949.79,Ongoing,,0,none
MPLAD100138,Chhattisgarh,Bilaspur,MP_080,Independent,17th,Public Toilet Complex,District Rural Development Agency,Vendor_084,2021-10-16,436852.41,200060.45,Ongoing,,0,none
MPLAD100139,Gujarat,Surat,MP_122,Independent,17th,Library Construction,Public Works Department,Vendor_021,2020-03-27,788035.05,397472.61,Delayed,,0,none
MPLAD100140,Andhra Pradesh,Vijayawada,MP_116,Party_D,18th,Public Toilet Complex,Panchayati Raj Department,Vendor_034,2021-02-14,374566.03,0.0,Sanctioned - Not Started,,0,none
MPLAD100141,Assam,Silchar,MP_088,Party_D,17th,Road Construction,District Rural Development Agency,Vendor_103,2022-04-29,3141991.11,1866858.06,Ongoing,,0,none
MPLAD100142,Tamil Nadu,Chennai,MP_135,Party_B,18th,Road Construction,Zila Parishad,Vendor_109,2023-12-14,1289103.24,407106.96,Delayed,,0,none
MPLAD100143,Jharkhand,Ranchi,MP_035,Independent,17th,Irrigation Canal Repair,Public Works Department,Vendor_118,2020-10-20,2548813.44,867650.55,Delayed,,0,none
MPLAD100144,Assam,Silchar,MP_076,Independent,17th,Drainage System,Municipal Corporation,Vendor_023,2021-04-09,1705508.12,1582312.79,Completed,2021-12-12,0,none
MPLAD100145,Chhattisgarh,Raipur,MP_048,Independent,17th,Irrigation Canal Repair,Jal Nigam,Vendor_005,2023-09-11,2577270.3,0.0,Sanctioned - Not Started,,0,none
MPLAD100146,Punjab,Amritsar,MP_064,Party_D,18th,School Building Repair,Zila Parishad,Vendor_069,2019-09-20,535039.76,0.0,Sanctioned - Not Started,,0,none
MPLAD100147,Assam,Dibrugarh,MP_123,Independent,17th,Bridge/Culvert Construction,State PWD Division,Vendor_004,2023-01-22,5149859.07,6811625.58,Completed,2023-06-04,1,cost_overrun
MPLAD100148,Tamil Nadu,Coimbatore,MP_037,Party_B,17th,Library Construction,Panchayati Raj Department,Vendor_036,2020-04-09,635554.62,237083.62,Delayed,,0,none
MPLAD100149,Rajasthan,Jaipur,MP_121,Party_A,17th,Sports Infrastructure,State Electricity Board,Vendor_089,2019-10-04,1437019.63,902612.25,Ongoing,,0,none
MPLAD100150,Madhya Pradesh,Bhopal,MP_084,Party_C,18th,Cremation/Burial Ground Development,District Rural Development Agency,Vendor_041,2022-09-07,937940.82,230833.04,Delayed,,0,none
MPLAD100151,Tamil Nadu,Madurai,MP_087,Party_C,17th,Community Hall Construction,Municipal Corporation,Vendor_042,2022-11-02,1013089.81,1007109.78,Completed,2023-07-07,0,none
